#"Step";"Potential Energy (kJ/mole)";"Kinetic Energy (kJ/mole)";"Temperature (K)";"Box Volume (nm^3)";"Speed (ns/day)"
12900;-316068.5275444889;11595.32623372483;71.21650420624478;189.6076488510647;700
13000;-316112.5656304264;11707.284112588852;71.90413028854091;189.87669633464054;700
13100;-315842.0030083561;11862.780895918142;72.85916485167546;189.71652326486725;700
13200;-315833.124468317;12093.485054861587;74.27611021178164;189.81032910128638;700
13300;-315534.44124077796;12044.084601973642;73.97270110625321;189.70657818094182;700
13400;-315481.1532769108;12190.63147432798;74.87276685180164;189.764440889136;700
13500;-315440.58674859046;12313.942973706813;75.63012492325024;189.802716852911;700
13600;-315380.979937067;12428.12351523072;76.33140221823983;189.77463051255629;700
13700;-315299.9757866764;12354.900683038606;75.88168014645923;189.6383993336095;700
13800;-315434.7489800358;12557.843457669107;77.12811984740219;189.29923928055814;700
13900;-315421.6132378483;12596.007114640612;77.36251448041665;189.1020332294284;700
14000;-315348.69710015296;12627.552156942256;77.55625871774801;189.0940528805457;700
14100;-315216.3983940983;12856.17931212677;78.96044747713827;189.13270696856006;700
14200;-315083.14424370765;13082.40076697286;80.34986083781905;189.15058493184517;700
14300;-314753.0409722233;13094.121287807968;80.42184626578613;189.41372526474674;700
14400;-314865.45967339515;13405.296104742272;82.33302860014987;189.54915893672504;700
14500;-314695.45369194984;13399.55819729218;82.29778735709921;189.43955416816698;700
14600;-314539.57966851234;13362.462901629857;82.06995441593676;189.44672208837216;700
14700;-314663.280718317;13594.009109868435;83.49207149833518;189.31577911647278;700
14800;-314699.98897027015;13655.107599593117;83.8673279389705;189.24558353860806;700
14900;-314500.0081353092;13462.639694884245;82.68522309181232;189.33193057088178;700
15000;-314553.27327202796;13590.645902170741;83.47141525371374;189.02257012795286;700
15100;-314513.5121636295;13755.810848465306;84.48583001492158;189.1695802569912;700
15200;-314337.7962212467;13856.645645963697;85.10514003996374;189.3270903257699;700
15300;-314296.35322808265;14151.642100176832;86.91695764637085;189.45971372753976;700
15400;-314226.8174614811;14240.133432710601;87.46045622748693;189.12297792846866;700
15500;-314169.23811577796;14285.135384295136;87.73685049270284;188.7830719708764;700
15600;-314206.339312067;14500.865915485687;89.06183040031964;188.87628723697026;700
15700;-314134.56428765296;14585.466844904644;89.58143479301829;188.80826548062538;700
15800;-313889.74885796546;14416.254358005302;88.54216073189124;189.0575137741895;700
15900;-313984.0753960514;14464.510210050837;88.83853989543573;189.30159194237217;700
16000;-313957.4445366764;14421.686021387228;88.57552107642047;189.2110720578305;700
16100;-314120.3781304264;14865.015310175135;91.29837350189926;189.2288488781077;700
16200;-313854.0434136295;14964.810847615357;91.91130056997996;189.0357043084101;700
16300;-313487.2842583561;14900.971055540023;91.51920752065844;189.4397946948137;700
16400;-313475.827593317;15196.963248635642;93.3371407844333;189.21376955221274;700
16500;-313450.8577446842;15465.414506106637;94.98592234706413;188.89004353547975;700
16600;-313332.6875176334;15564.184271468257;95.59254929903959;188.91180112960888;700
16700;-313227.72346734046;15555.600465042051;95.53982903277578;188.6844090327531;700
16800;-313164.2480034733;15568.463382187183;95.61883086286717;188.74122735469777;699
16900;-313331.41377495765;15758.89220453726;96.78841201604254;188.48344178653016;700
17000;-313117.3877739811;15604.426897445926;95.83971260298125;188.74424315343458;699
17100;-312892.8185601139;15631.337809104414;96.00499480502457;189.01482818351255;699
17200;-312916.62068413734;15976.486579752876;98.12483933386369;188.95606379087258;699
17300;-312765.421343317;16170.118642445683;99.31409423961345;188.9531439018308;699
17400;-312714.5356011295;16266.696559960008;99.90725923818718;189.05516470749234;699
17500;-312528.7362847233;16291.983967382665;100.0625701557742;189.14019340182085;699
17600;-312553.94697808265;16306.079094484376;100.14914000799682;188.8391437483627;699
17700;-312549.20759819984;16278.383960258157;99.9790412454991;188.21584761139272;699
17800;-312484.495562067;16462.22139676285;101.10813923775937;188.26074600725528;699
17900;-312619.48506402015;16547.847922705754;101.63404266833669;188.3805521535883;699
18000;-312494.24092339515;16534.302659985202;101.55084998879764;188.58149657673908;699
18100;-312278.2665581608;16679.658585355675;102.44360114231337;188.65946704337395;699
18200;-312134.0859551334;16782.443750498933;103.07488999078701;188.71991440713543;699
18300;-312024.97419976234;17179.012292999716;105.51054593575984;188.6712134757881;699
18400;-311901.3927788639;17066.660093703984;104.82049800502948;188.6768641939721;699
18500;-311868.1405815983;17050.687488224823;104.72239700274953;188.5859498542161;699
18600;-311927.9095024967;17262.444626020442;106.02297300988785;188.34520635783068;699
18700;-311978.19002007484;17523.975868370326;107.62925302697813;188.34520635783068;699
18800;-311736.4804253483;17335.169404143195;106.46963611903035;188.20175727257362;699
18900;-311611.82087944984;17134.89296919282;105.23957261891327;188.51772604374563;699
19000;-311733.0282769108;17372.03543256485;106.69606094013822;188.57751004428638;699
19100;-311640.0089898014;17731.97081316635;108.90672229022846;188.33874667057057;699
19200;-311331.88337944984;17808.65216421221;109.37768599139756;188.60178024872698;699
19300;-311237.8283257389;17966.973872728515;110.35007076033123;188.52970570665983;699
19400;-311171.29951714515;18084.401161751768;111.07128902138625;188.18961476303096;699
19500;-310955.23591851234;18035.16360232857;110.76888037956908;188.0660617607928;699
19600;-311045.5253472233;18377.691435296903;112.87262755887627;188.16937219247313;699
19700;-310886.8146538639;18310.06408658414;112.4572719865551;188.1572807949353;699
19800;-310902.7659478092;18411.447201206873;113.07994968129492;187.82428664263222;699
19900;-311015.2414116764;18647.07689716376;114.52714684461606;187.64266312934083;699
20000;-311032.1320366764;18548.621585343964;113.92245121234068;187.4549693687659;699
20100;-310618.768999567;18699.86817870059;114.85138183790896;187.4549693687659;699
20200;-310662.61104058265;19253.205906266725;118.24988721916108;187.4576942513281;699
20300;-310271.6789116764;19217.521296163555;118.03071846665809;187.35685931572155;698
20400;-310364.0381646061;19241.200603791804;118.17615271122494;187.53305865319444;698
20500;-310134.0158257389;19266.54950422072;118.33184130830546;187.53305865319444;698
20600;-310104.5598931217;19347.306208962866;118.82783513262963;187.53305865319444;697
20700;-309861.90303277015;19434.772402614646;119.36503748662544;187.69217228376948;697
20800;-309848.4433159733;19317.281022852752;118.64342559125036;187.68761670498608;697
20900;-309817.21748589515;19398.31570463162;119.14112670283889;187.65446339262874;697
21000;-309983.54365777015;19462.989263177267;119.53834060276377;187.48984095379365;697
21100;-309939.77314995765;19885.831222033332;122.13536336300879;187.59576812293767;697
21200;-309644.02717827796;19761.198012971872;121.36988757746792;187.56566600970706;697
21300;-309577.6770806217;20061.53396324988;123.21449945255695;187.53204784740967;697
21400;-309524.8449273014;20236.57032407564;124.28954274808218;187.75036833068282;697
21500;-309659.585405817;20257.389912375365;124.4174130872027;187.1748352236756;697
21600;-309410.212358942;20208.97040698974;124.12002879292297;187.31145992008032;697
